Route,Direction,Stop Sequence,Stop
700,Northbound,001,Wharf St at Tweed Heads [300002]
700,Northbound,002,Twin Towns Services Club [300052]
700,Northbound,003,Griffith St at Coolangatta East [300216]
700,Northbound,004,Coolangatta Central [300217]
700,Northbound,005,Marine Pde at Kirra Beach [300220]
700,Northbound,006,Marine Pde at Kirra Beach Hotel [300221]
700,Northbound,007,Musgrave St at Kirra shops [300224]
700,Northbound,008,Musgrave St at Coyne Street [300225]
700,Northbound,009,Golden Four Dr at North Kirra Beach [300120]
700,Northbound,010,Johnston Street [300006]
700,Northbound,011,Golden Four Dr at George Street [300122]
700,Northbound,012,Golden Four Dr at Bilinga Beach [300124]
700,Northbound,013,Golden Four Dr at Bilinga Beach SLSC [300125]
700,Northbound,014,Golden Four Dr at Short Street [300578]
700,Northbound,015,Golden Four Dr at Shell Street [300580]
700,Northbound,016,Golden Four Dr at Tugun Beach shops [300585]
700,Northbound,017,Golden Four Drive at St Monica's Catholic Church [300586]
700,Northbound,018,Teemangum St at Kropp Park [300590]
700,Northbound,019,Currumbin Wildlife Sanctuary [300024]
700,Northbound,020,Gold Coast Hwy at Currumbin Hill [300243]
700,Northbound,021,Gold Coast Hwy at Thrower Drive [300433]
700,Northbound,022,Gold Coast Hwy at Palm Beach Police Station [300411]
700,Northbound,023,Gold Coast Hwy at Fourth Avenue [300412]
700,Northbound,024,Palm Beach [300413]
700,Northbound,025,Gold Coast Hwy at Eighth Avenue [300414]
700,Northbound,026,Gold Coast Hwy at Tenth Avenue [300415]
700,Northbound,027,Gold Coast Hwy at Fifteenth Avenue [300416]
700,Northbound,028,Nineteenth Avenue [300417]
700,Northbound,029,Gold Coast Hwy at Twenty First Avenue [300418]
700,Northbound,030,Gold Coast Hwy at Twenty Fifth Avenue [300419]
700,Northbound,031,Twenty Seventh Avenue [300420]
700,Northbound,032,Gold Coast Hwy at Tallebudgera Tourist Park [300434]
700,Northbound,033,Burleigh Heads National Park [300178]
700,Northbound,034,Tweed St at George St [300183]
700,Northbound,035,Burleigh Heads station [321299]
700,Northbound,035,Gold Coast Hwy at Burleigh Heads [321299]
700,Northbound,036,Burleigh Heads Primary School CLOSED [300017]
700,Northbound,036,Burleigh Heads Primary School [300017]
700,Northbound,037,Gold Coast Hwy at Anzac Pde CLOSED [300180]
700,Northbound,038,Gold Coast Hwy at Christine Avenue station [300359]
700,Northbound,039,Gold Coast Hwy at Miami Hotel [300360]
700,Northbound,040,Gold Coast Hwy at Hythe St CLOSED [318628]
700,Northbound,041,Gold Coast Hwy at Miami station [300361]
700,Northbound,042,Gold Coast Hwy at Miami North station [300362]
700,Northbound,043,Gold Coast Hwy at Nobby Beach station [300330]
700,Northbound,044,Gold Coast Hwy at Mermaid Beach South station [300332]
700,Northbound,045,Gold Coast Hwy at Mermaid Beach station [300335]
700,Northbound,046,"Broadbeach South station, stop C [320862]"
700,Northbound,047,Broadbeach North station [300011]
700,Northbound,047,"Broadbeach South station, stop C [320862]"
700,Northbound,048,Broadbeach North station [300011]
700,Northbound,048,Gold Coast Hwy at Florida Gardens station [319466]
700,Northbound,049,Gold Coast Hwy at Florida Gardens station [319466]
700,Northbound,049,Remembrance Drive at Surfers Paradise Bvd [300558]
700,Northbound,050,Remembrance Dr at Markwell Avenue [300559]
700,Northbound,050,Remembrance Drive at Surfers Paradise Bvd [300558]
700,Northbound,051,Remembrance Dr at Markwell Avenue [300559]
700,Northbound,051,Surfers Paradise [300050]
700,Northbound,052,Ferny Ave at Palm Avenue [300540]
700,Northbound,052,Surfers Paradise [300050]
700,Northbound,053,Ferny Ave at Ocean Avenue [300541]
700,Northbound,053,Ferny Ave at Palm Avenue [300540]
700,Northbound,054,Main Beach station [319468]
700,Northbound,055,Ada Bell Way at Broadwater Parklands station [319471]
700,Northbound,056,Scarborough St at White Street [300519]
700,Northbound,057,Scarborough St at White Street [300519]
700,Northbound,057,"Southport bus station, stop B [320928]"
700,Northbound,058,Southport Medical Precinct [300505]
700,Northbound,058,"Southport bus station, stop B [320928]"
700,Northbound,059,Queen Street station (Southport) [319474]
700,Northbound,059,Southport Medical Precinct [300505]
700,Northbound,060,"Griffith University, platform 3 [318944]"
700,Northbound,060,Queen Street station (Southport) [319474]
700,Northbound,061,"Griffith University, platform 3 [318944]"
700,Northbound,Last Stop,Broadbeach South station [320864]
700,Northbound,Last Stop,"GCUH, platform 3 [318946]"
700,Southbound,001,"Broadbeach South station, stop A [320860]"
700,Southbound,001,"GCUH, platform 4 [318945]"
700,Southbound,002,Gold Coast Hwy at Mermaid Beach station [300337]
700,Southbound,002,"Griffith University, platform 4 [318943]"
700,Southbound,002,Mermaid Park [300337]
700,Southbound,003,Gold Coast Hwy at Mermaid Beach South station [300344]
700,Southbound,003,Queen Street station (Southport) [319473]
700,Southbound,003,Tamborine Street [300344]
