Date,Operator,Route,Direction,Stop Name,Stop ID,Boardings,Alightings
1/03/2026,Surfside Buslines,757,West,Classic Way at Treetops Plaza,300197,11,1
1/03/2026,Surfside Buslines,757,East,Classic Way at Treetops Plaza,319288,3,7
1/03/2026,Surfside Buslines,753,South,Classic Way at Treetops Plaza,319288,6,13
1/03/2026,Surfside Buslines,754,South,Classic Way at Treetops Plaza,319288,8,9
1/03/2026,Surfside Buslines,753,North,Classic Way at Treetops Plaza,300197,7,7
1/03/2026,Surfside Buslines,764,North,Classic Way at Treetops Plaza,300197,0,1
1/03/2026,Surfside Buslines,754,North,Classic Way at Treetops Plaza,300197,9,6
1/03/2026,Surfside Buslines,768,North,Coolangatta Central,300217,13,4
1/03/2026,Surfside Buslines,700,North,Coolangatta Central,300217,203,11
1/03/2026,Surfside Buslines,700,South,Coolangatta Central,300217,0,1
1/03/2026,Surfside Buslines,736,East,Coolangatta Central,300218,0,2
1/03/2026,Surfside Buslines,700,South,Coolangatta Central,300218,24,75
1/03/2026,Surfside Buslines,Route DH,Inbound,Coolangatta Central,300218,0,6
1/03/2026,Surfside Buslines,768,South,Coolangatta Central,300218,1,3
1/03/2026,Surfside Buslines,Route DH,Inbound,Coolangatta Central,300217,1,0
1/03/2026,Surfside Buslines,760,South,Coolangatta Central,300218,2,32
1/03/2026,Surfside Buslines,760,North,Coolangatta Central,300217,44,5
1/03/2026,Surfside Buslines,767,Clockwise,Currumbin Wildlife Sanctuary,300024,2,3
1/03/2026,Surfside Buslines,767,Clockwise,Currumbin Wildlife Sanctuary,300248,1,1
1/03/2026,Surfside Buslines,760,South,Currumbin Wildlife Sanctuary,300248,7,27
1/03/2026,Surfside Buslines,768,South,Currumbin Wildlife Sanctuary,300248,3,1
1/03/2026,Surfside Buslines,768,North,Currumbin Wildlife Sanctuary,300024,0,4
1/03/2026,Surfside Buslines,760,North,Currumbin Wildlife Sanctuary,300024,31,6
1/03/2026,Surfside Buslines,Route DH,Inbound,Currumbin Wildlife Sanctuary,300248,0,1
1/03/2026,Surfside Buslines,700,South,Currumbin Wildlife Sanctuary,300024,0,1
1/03/2026,Surfside Buslines,700,South,Currumbin Wildlife Sanctuary,300248,17,125
1/03/2026,Surfside Buslines,Route DH,Inbound,Currumbin Wildlife Sanctuary,300024,1,0
1/03/2026,Surfside Buslines,700,North,Currumbin Wildlife Sanctuary,300024,127,17
1/03/2026,Surfside Buslines,777,South,Gold Coast Airport,300008,39,246
1/03/2026,Surfside Buslines,760,South,Gold Coast Airport,300008,39,34
1/03/2026,Surfside Buslines,Route DH,Inbound,Gold Coast Airport,300008,9,9
1/03/2026,Surfside Buslines,777,North,Gold Coast Airport,300008,386,33
