Date,Operator,Route,Direction,Stop Name,Stop ID,Boardings,Alightings
1/03/2026,Surfside Buslines,700,North,Ada Bell Way at Broadwater Parklands station,319471,0,1
1/03/2026,Surfside Buslines,700,South,Bermuda St at Lake Orr,300597,0,1
1/03/2026,Surfside Buslines,700,North,Bond University,319718,0,1
1/03/2026,Surfside Buslines,700,North,Broadbeach North station,300011,9,0
1/03/2026,Surfside Buslines,700,South,Broadbeach North station,300012,2,0
1/03/2026,Surfside Buslines,700,North,Broadbeach South,600801,0,3
1/03/2026,Surfside Buslines,700,North,Broadbeach South station,320864,58,1113
1/03/2026,Surfside Buslines,700,South,"Broadbeach South station, stop A",320860,1395,43
1/03/2026,Surfside Buslines,700,North,"Broadbeach South station, stop A",320860,0,2
1/03/2026,Surfside Buslines,700,North,"Broadbeach South station, stop C",320862,8,17
1/03/2026,Surfside Buslines,700,North,"Broadbeach South station, stop D",320863,0,7
1/03/2026,Surfside Buslines,700,South,Burleigh Heads National Park,300177,6,33
1/03/2026,Surfside Buslines,700,North,Burleigh Heads National Park,300178,69,11
1/03/2026,Surfside Buslines,700,South,Burleigh Heads Primary School,300017,0,1
1/03/2026,Surfside Buslines,700,North,Burleigh Heads Primary School,300017,116,9
1/03/2026,Surfside Buslines,700,South,Cahill Street,300007,12,17
1/03/2026,Surfside Buslines,700,South,Christine Avenue,300365,1,3
1/03/2026,Surfside Buslines,700,South,Christine Avenue CLOSED until April 2026,300365,1,3
1/03/2026,Surfside Buslines,700,South,Coolangatta Central,300217,0,1
1/03/2026,Surfside Buslines,700,North,Coolangatta Central,300217,203,11
1/03/2026,Surfside Buslines,700,South,Coolangatta Central,300218,24,75
1/03/2026,Surfside Buslines,700,North,Cottesloe Dr near University Dr,301274,0,1
1/03/2026,Surfside Buslines,700,North,Crescent Avenue,300335,22,45
1/03/2026,Surfside Buslines,700,North,Currumbin Wildlife Sanctuary,300024,127,17
1/03/2026,Surfside Buslines,700,South,Currumbin Wildlife Sanctuary,300024,0,1
1/03/2026,Surfside Buslines,700,South,Currumbin Wildlife Sanctuary,300248,17,125
1/03/2026,Surfside Buslines,700,North,"GCUH, platform 3",318946,0,3
1/03/2026,Surfside Buslines,700,South,"GCUH, platform 4",318945,12,0
1/03/2026,Surfside Buslines,700,North,Gold Coast Hwy at Anzac Parade,300180,64,19
1/03/2026,Surfside Buslines,700,South,Gold Coast Hwy at Anzac Parade,300179,21,43
1/03/2026,Surfside Buslines,700,South,Gold Coast Hwy at Burleigh Heads,321299,0,1
1/03/2026,Surfside Buslines,700,North,Gold Coast Hwy at Burleigh Heads,321299,418,143
